"id","tank_label_kpk","tank_label_vega","distance_A","distance_B","max_gallons","max_inches","gallons_per_inch","item_code","item_description"
2,TANK 2,"02 2",0.00000,0.00000,28000.00000,397.14960,70.50240,"050000G",CHEM - GLYCERIN
3,TANK 3,"03 3",0.00000,0.00000,29000.00000,414.00440,70.04756,"031018",CHEM - Denatured Alcohol
4,TANK 4,"04 4",0.00000,0.00000,29000.00000,413.61440,70.11361,"050000",CHEM - PROPYLENE GLYCOL
5,TANK 5,"05 5",0.00000,0.00000,29000.00000,414.03780,70.04191,"050000",CHEM - PROPYLENE GLYCOL
6,TANK 6,"06 6",0.00000,0.00000,29000.00000,414.38390,69.98341,"601015",CHEM - EG Raw
7,TANK 7,"07 7",0.00000,0.00000,29000.00000,413.23020,70.17880,"050000G",CHEM - GLYCERIN
8,TANK 8,"08 8",0.00000,0.00000,29000.00000,414.00440,70.04756,"500200",CHEM - METHANOL
9,TANK A,"09 A",15.87000,335.36000,10000.00000,326.00000,31.30000,"100427",CHEM - MOTIVA STAR 4
10,TANK B,"10 B",14.87000,334.36000,10000.00000,326.00000,31.30000,"100507TANKB",CHEM - SASOL LPA 170
11,TANK C,"11 C",18.30000,389.36000,20000.00000,388.00000,53.90000,"100428M6",CHEM - Motiva Star 6
12,TANK D,"12 D",26.80000,397.86000,20000.00000,388.00000,53.90000,"100507TANKD",CHEM - Calumet 400-500
13,TANK G,"13 G",16.87000,336.36000,10000.00000,326.00000,31.30000,"100421G2",CHEM - MOTIVA STAR 12
14,TANK IND,"14 IND",19.30000,390.36000,20000.00000,388.00000,53.90000,"050000",CHEM - PROPYLENE GLYCOL
16,TANK L,"16 L",7.84000,379.86000,20000.00000,372.00000,53.76000,"100421G2",CHEM - MOTIVA STAR 12 
18,TANK STAR,"17 STAR",0.00000,0.00000,10000.00000,0.00000,0.00000,"93100GAS.B",BLEND-STARTRON GAS & AUTO DSL
20,TANK TEAK,"20 TEAK",0.00000,0.00000,2200.00000,0.00000,0.00000,"602032CARB",BLEND-PREM TEAK OIL
21,TANK MSR,"21 MSR",0.00000,0.00000,2500.00000,0.00000,0.00000,"602037",BLEND-MILDEW STAIN RMVR KPK
22,TANK E,"22 E",0.00000,0.00000,10000.00000,326.00000,0.00000,"100507",CHEM - Calumet 400-500
1,TANK 1,"01 1",0.00000,0.00000,13300.00000,300.99750,288.53719,"030033",CHEM - MINERAL SPIRITS
15,TANK J,"15 J",0.00000,0.00000,20000.00000,388.00000,53.90000,"100560",CHEM - INFINEUM S810
19,TANK DKP,"18 DKP",0.00000,0.00000,5000.00000,0.00000,0.00000,"030066",CHEM - DKP - LIQUID  50
17,TANK O,test,0.00000,0.00000,15000.00000,311.00000,0.00000,"100507TANKO",CHEM - Calumet 400-500
