tank_label_kpk,tank_label_vega,distance_A,distance_B,max_gallons,max_inches,gallons_per_inch,part_number,part_desc
TANK 1,01 1,0,0,0,300.9975,288.537192,030033,CHEM - MINERAL SPIRITS
TANK 2,02 2,0,0,28000,397.1496,70.5024001,050000G,CHEM - GLYCERIN
TANK 3,03 3,0,0,29000,414.0044,70.04756471,031018,CHEM - Denatured Alcohol
TANK 4,04 4,0,0,29000,413.6144,70.11361307,050000,CHEM - PROPYLENE GLYCOL
TANK 5,05 5,0,0,29000,414.0378,70.04191405,050000,CHEM - PROPYLENE GLYCOL
TANK 6,06 6,0,0,29000,414.3839,69.98341393,601015,CHEM - EG Raw
TANK 7,07 7,0,0,29000,413.2302,70.17880107,050000G,CHEM - GLYCERIN
TANK 8,08 8,0,0,29000,414.0044,70.04756471,500200,CHEM - METHANOL
TANK A,09 A,15.87,335.36,10000,326,31.3,100427,CHEM - MOTIVA STAR 4
TANK B,10 B,14.87,334.36,10000,326,31.3,100507TANKB,CHEM - SASOL LPA 170
TANK C,11 C,18.3,389.36,20000,388,53.9,100428M6,CHEM - Motiva Star 6
TANK D,12 D,26.8,397.86,20000,388,53.9,100507TANKD,CHEM - Calumet 400-500
TANK G,13 G,16.87,336.36,10000,326,31.3,100421G2,CHEM - MOTIVA STAR 12
TANK IND,14 IND,19.3,390.36,20000,388,53.9,050000,CHEM - PROPYLENE GLYCOL
TANK J,15 J,0,0,10000,388,53.9,100508,CHEM - INFINEUM S816
TANK L,16 L,7.84,379.86,20000,372,53.76,100421G2,CHEM - MOTIVA STAR 12 
TANK O,,0,0,0,311,0,100507TANKO,CHEM - Calumet 400-500
TANK STAR,17 STAR,0,0,10000,0,0,93100GAS.B,BLEND-STARTRON GAS & AUTO DSL
TANK DKP,18 DKP,0,0,5000,0,0,030066,CHEM - DKP - LIQUID  50%
TANK TEAK,20 TEAK,0,0,2200,0,0,602032CARB,BLEND-PREM TEAK OIL
TANK MSR,21 MSR,0,0,2500,0,0,602037,BLEND-MILDEW STAIN RMVR KPK
