ItemCode,Description,VendorNo,Vendor,SupplierSplit,VendorSpend2025,AnnualQty2025,TypicalOrderQty,LastPurchaseDate,LastPricePaid,OpenOrders
020002,"RESIN - GP-9114 White pvc virg",POLYONE,"FORMERRA (AVIENT)",82.8%,"$235,300.09",211625,34264,,$0.0000,None
020002,"RESIN - GP-9114 White pvc virg",WESTLAK,"WESTLAKE GLOBAL COMPOUNDS",17.2%,"$48,766.63",211625,40303,2025-11-04,$1.2100,"PO#0024689 (41400 units @ $1.2100, 2026-01-05)"
020003,"RESIN - FG-9209 clear pvc virg",POLYONE,"FORMERRA (AVIENT)",72.1%,"$261,321.27",283330,39666,,$0.0000,None
020003,"RESIN - FG-9209 clear pvc virg",WESTLAK,"WESTLAKE GLOBAL COMPOUNDS",27.9%,"$101,150.00",283330,42500,2025-12-16,$1.1900,"PO#0024828 (42500 units @ $1.1900, 2026-01-30)"
031018,"CHEM - Denatured Alcohol",ECOENER,"ECO-ENERGY, LLC",100.0%,"$386,189.30",140945,6407,2026-01-13,$2.7400,"PO#0023867 (78 units @ $2.7400, 2025-06-05) | PO#0024236 (113 units @ $2.7400, 2025-09-15)"
050000,"CHEM - PROPYLENE GLYCOL",THIRDCO,"THIRD COAST CHEMICALS",100.0%,"$1,301,742.84",208265,12251,2025-11-24,$6.3145,"PO#0023703 (11 units @ $6.3145, 2025-04-25) | PO#0023704 (1 units @ $6.3145, 2025-04-25)"
050000G,"CHEM - GLYCERIN",VANTOLE,"VANTAGE OLEOCHEMICALS",62.8%,"$1,540,102.20",444844,17629,,$0.0000,"PO#0024250 (2 units @ $5.7750, 2025-09-17)"
050000G,"CHEM - GLYCERIN",RIERDEN,"RIERDEN CHEMICAL & TRADING CO.",21.5%,"$526,733.63",444844,8478,2025-12-01,$6.5625,"PO#0024515 (11 units @ $6.5625, 2025-11-13) | PO#0024516 (9 units @ $6.5625, 2025-11-13) | PO#0024541 (85 units @ $6.5625, 2025-11-19)"
050000G,"CHEM - GLYCERIN",ADM,"ARCHER DANIEL MIDLAND COMPANY",7.6%,"$186,884.88",444844,17114,,$0.0000,None
050000G,"CHEM - GLYCERIN",VANTAGE,"VANTAGE SPECIALTIES, INC.",4.1%,"$99,451.28",444844,4305,,$0.0000,None
050000G,"CHEM - GLYCERIN",LDCLLC,"LOUIS DREYFUS COMPANY, LLC.",4.0%,"$98,651.28",444844,18068,,$0.0000,None
500200,"CHEM - METHANOL",COLCHE2,"COLONIAL CHEMICAL SOLUTIONS, INC",100.0%,"$627,663.72",445621,7427,2026-02-03,$1.4300,"PO#0023359 (56 units @ $1.5750, 2025-01-27) | PO#0023419 (101 units @ $1.5950, 2025-02-10) | PO#0023448 (7 units @ $1.5950, 2025-02-17) | PO#0023474 (86 units @ $1.5950, 2025-02-20) | PO#0023598 (123 units @ $1.4850, 2025-03-27) | PO#0023605 (29 units @ $1.4850, 2025-04-02) | PO#0023673 (47 units @ $1.4850, 2025-04-21) | PO#0023686 (53 units @ $1.4850, 2025-04-21) | PO#0023732 (62 units @ $1.3900, 2025-04-29) | PO#0023762 (61 units @ $1.3900, 2025-05-07) | PO#0023778 (73 units @ $1.3900, 2025-05-12) | PO#0023833 (94 units @ $1.2700, 2025-05-29) | PO#0023882 (93 units @ $1.2600, 2025-06-10) | PO#0023963 (119 units @ $1.2800, 2025-07-07) | PO#0023964 (123 units @ $1.2800, 2025-07-07) | PO#0024009 (123 units @ $1.2800, 2025-07-21) | PO#0024108 (123 units @ $1.3100, 2025-08-11) | PO#0024115 (115 units @ $1.3100, 2025-08-14) | PO#0024156 (112 units @ $1.3100, 2025-08-26) | PO#0024256 (103 units @ $1.3100, 2025-09-22) | PO#0024263 (98 units @ $1.3100, 2025-09-23) | PO#0024304 (150 units @ $1.3600, 2025-09-30) | PO#0024309 (99 units @ $1.3600, 2025-10-02) | PO#0024363 (75 units @ $1.3600, 2025-10-15) | PO#0024407 (74 units @ $1.3600, 2025-10-22) | PO#0024447 (44 units @ $1.3600, 2025-11-03) | PO#0024481 (28 units @ $1.3600, 2025-11-06) | PO#0024554 (20 units @ $1.3600, 2025-11-24) | PO#0024567 (19 units @ $1.3600, 2025-11-25) | PO#0024590 (3 units @ $1.3600, 2025-12-04) | PO#0024598 (138 units @ $1.3600, 2025-12-08) | PO#0024659 (10 units @ $1.3600, 2025-12-18) | PO#0024660 (1 units @ $1.3600, 2025-12-18) | PO#0024681 (8 units @ $1.3750, 2026-01-03) | PO#0024751 (29 units @ $1.3750, 2026-01-07) | PO#0024769 (30 units @ $1.3750, 2026-01-08) | PO#0024783 (140 units @ $1.3750, 2026-01-15) | PO#0024827 (7500 units @ $1.4300, 2026-01-29) | PO#0024835 (7500 units @ $1.4300, 2026-02-03)"
502403,"CAP-38MM CRC 809 WHITE HDPE",TKSUPPL,"T K SUPPLIES",100.0%,"$278,249.57",4224500,528063,2026-01-21,$0.0658,"PO#0024650 (595000 units @ $0.0640, 2025-12-15)"
